equation,nominal,lb,ub
2 OH <=> H2O + O,1.0,0.31622776601683794,3.1622776601683795
CO + O (+M) <=> CO2 (+M),1.0,0.31622776601683794,3.1622776601683795
CO + OH <=> CO2 + H,1.0,0.44380508447743633,2.2532414228139412
H + H2O2 <=> H2 + HO2,1.0,0.31622776601683794,3.1622776601683795
H + HO2 <=> 2 OH,1.0,0.31622776601683794,3.1622776601683795
H + HO2 <=> H2 + O2,1.0,0.31622776601683794,3.1622776601683795
H + O + M <=> OH + M,1.0,0.31622776601683794,3.1622776601683795
H + O2 (+M) <=> HO2 (+M),1.0,0.31622776601683794,3.1622776601683795
H + O2 <=> O + OH,1.0,0.31622776601683794,3.1622776601683795
H2 + O <=> H + OH,1.0,0.33685916430752605,2.968599658126202
H2 + OH <=> H + H2O,1.0,0.35849791351668475,2.7894165134477396
H2O2 (+M) <=> 2 OH (+M),1.0,0.31622776601683794,3.1622776601683795
