exp_id,n_samples,n_vars,training_file
x10000034.1246.1,470,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1246.1_training.csv
x10000034.1172.1,374,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1172.1_training.csv
x10000034.1158.1,360,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1158.1_training.csv
x10000034.1148.1,338,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1148.1_training.csv
x10000034.1138.1,336,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1138.1_training.csv
x10000034.1125.1,323,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1125.1_training.csv
x10000034.1116.1,310,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1116.1_training.csv
x10000034.1110.1,317,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1110.1_training.csv
x10000034.1107.1,309,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1107.1_training.csv
x10000034.1102.1,311,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1102.1_training.csv
x10000034.1098.1,298,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1098.1_training.csv
x10000034.1148.2,338,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1148.2_training.csv
x10000034.1148.3,338,9,C:\Users\barki\Desktop\master thesis\consistency-analysis\surrogate\data\training\x10000034.1148.3_training.csv
