Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,6.163010415451437,Klippenstein_Glarborg2016,H2 + O <=> H + OH
400,172.72847504544134,Klippenstein_Glarborg2016,H2 + O <=> H + OH
500,1279.4764113450094,Klippenstein_Glarborg2016,H2 + O <=> H + OH
600,4930.59067972636,Klippenstein_Glarborg2016,H2 + O <=> H + OH
700,13449.388282652431,Klippenstein_Glarborg2016,H2 + O <=> H + OH
800,30701.75577070854,Klippenstein_Glarborg2016,H2 + O <=> H + OH
900,64066.67681036871,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1000,126366.89344034925,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1100,236568.887556955,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1200,418950.93681627885,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1300,701184.8143248735,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1400,1112012.7087409103,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1500,1679077.178574286,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1600,2427220.42142946,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1700,3377356.0843897522,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1800,4545879.666561755,Klippenstein_Glarborg2016,H2 + O <=> H + OH
1900,5944516.850673816,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2000,7580490.670370605,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2100,9456896.849884953,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2200,11573196.707124814,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2300,13925759.625529187,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2400,16508407.708264962,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2500,19312932.048980966,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2600,22329562.8186009,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2700,25547384.51608998,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2800,28954693.94860884,Klippenstein_Glarborg2016,H2 + O <=> H + OH
2900,32539302.49214199,Klippenstein_Glarborg2016,H2 + O <=> H + OH
3000,36288786.54799275,Klippenstein_Glarborg2016,H2 + O <=> H + OH
300,5.195508931923698,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
400,155.96970433079846,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
500,1376.397333337232,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
600,6435.232060139576,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
700,20656.512088175135,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
800,51992.12684770105,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
900,110678.2596531118,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1000,208745.86813670423,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1100,359542.50157330936,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1200,577328.1915822163,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1300,876957.8624926682,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1400,1273641.8490086666,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1500,1782769.9827369072,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1600,2419784.8036155226,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1700,3200091.668777064,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1800,4138996.120179411,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
1900,5251661.187077926,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2000,6553079.168732254,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2100,8058053.879695454,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2200,9781190.416096406,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2300,11736890.295768209,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2400,13939350.40723796,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2500,16402564.627721127,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2600,19140327.28037957,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2700,22166237.82740201,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2800,25493706.36079136,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
2900,29135959.57370144,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
3000,33106046.983801376,NIST_Fluorine/CH2F2/full,H2 + O <=> H + OH
300,5.446979180023966,primaryH2O2,H2 + O <=> H + OH
400,164.30378900213097,primaryH2O2,H2 + O <=> H + OH
500,1451.9129391087508,primaryH2O2,H2 + O <=> H + OH
600,6787.606818277452,primaryH2O2,H2 + O <=> H + OH
700,21770.387481792666,primaryH2O2,H2 + O <=> H + OH
800,54733.827910598455,primaryH2O2,H2 + O <=> H + OH
900,116363.63965746909,primaryH2O2,H2 + O <=> H + OH
1000,219168.0220132362,primaryH2O2,H2 + O <=> H + OH
1100,376967.1649007418,primaryH2O2,H2 + O <=> H + OH
1200,604466.4520161649,primaryH2O2,H2 + O <=> H + OH
1300,916924.5445426932,primaryH2O2,H2 + O <=> H + OH
1400,1329905.8838324149,primaryH2O2,H2 + O <=> H + OH
1500,1859101.1715130706,primaryH2O2,H2 + O <=> H + OH
