Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,3838.622697930966,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
400,24975.144312921515,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
500,82917.68688499773,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
600,194124.7433962238,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
700,369529.5246265508,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
800,615284.4374491379,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
900,934176.1039405187,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1000,1326821.7322123528,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1100,1792511.3077030594,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1200,2329760.486608005,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1300,2936662.1481704228,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1400,3611105.907641651,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1500,4350913.130129053,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1600,5153918.412359084,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1700,6018017.298780221,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1800,6941192.7652616,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
1900,7921528.413249944,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2000,8957213.417985693,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2100,10046542.44094968,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2200,11187912.552589918,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2300,12379818.468467291,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2400,13620846.925455082,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2500,14909670.717687782,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2600,16245042.713657998,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2700,17625790.04762182,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2800,19050808.595671654,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
2900,20519057.7936444,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
3000,22029555.820204612,Klippenstein_Glarborg2016,H2 + OH <=> H + H2O
300,3768.829557968584,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
400,24521.050779959307,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
500,81410.09257799777,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
600,190595.20260720156,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
