A,n,Ea,T0,Tmin,Tmax,Pmin,Pmax,Library,comment,Type,efficiencies,reaction
20.150000000000002,1.651,2638.8488,1.0,,,,,Klippenstein_Glarborg2016,,MultiArrhenius,,2 OH <=> H2O + O
259500.00000000003,-0.057,-3460.168,1.0,,,,,Klippenstein_Glarborg2016,,MultiArrhenius,,2 OH <=> H2O + O
0.0357,2.4,-8828.24,1.0,,,,,NIST_Fluorine/CH2F2/full,,Arrhenius,,2 OH <=> H2O + O
2.6680000000000006,1.82,-6891.048000000001,1.0,200.0,2000.0,,,primaryH2O2,,Arrhenius,,2 OH <=> H2O + O
0.004300000000000001,2.7,-7623.2480000000005,1.0,,,,,Nitrogen_Glarborg_Gimenez_et_al,,Arrhenius,,2 OH <=> H2O + O
0.033400000000000006,2.42,-8075.12,1.0,,,,,BurkeH2O2inN2,,Arrhenius,,2 OH <=> H2O + O
0.03973000000000001,2.4,-8828.24,1.0,,,,,2-BTP/full,,Arrhenius,,2 OH <=> H2O + O
1510.0000000000002,1.14,420.0,1.0,,,,,combustion_core/version2,,Arrhenius,,2 OH <=> H2O + O
0.03195900000000001,2.42,-8066.752,1.0,,,,,ERC-FoundationFuelv0.9,,Arrhenius,,2 OH <=> H2O + O
0.031610000000000006,2.42,-8066.752,1.0,,,,,FFCM1(-),,Arrhenius,,2 OH <=> H2O + O
