A,n,Ea,T0,Tmin,Tmax,Pmin,Pmax,Library,comment,Type
47.60000000000001,1.228,292.88,1.0,,,,,NIST_Fluorine/seed,,Arrhenius
0.07015000000000002,2.053,-1488.2488,1.0,,,,,CurranPentane,,MultiArrhenius
5757000.000000001,-0.664,1388.2512000000002,1.0,,,,,CurranPentane,,MultiArrhenius
1500000.0000000002,0.0,58195.256,1.0,,,,,Nitrogen_Glarborg_Gimenez_et_al,,MultiArrhenius
5.800000000000001,1.5,0.0,1.0,,,,,Nitrogen_Glarborg_Gimenez_et_al,,MultiArrhenius
0.05872000000000001,2.053,-1488.12328,1.0,,,,,2-BTP/seed,,MultiArrhenius
5757000.000000001,-0.664,1388.37672,1.0,,,,,2-BTP/seed,,MultiArrhenius
16.6,1.3,-3200.0,1.0,,,,,combustion_core/version2,,Arrhenius
0.06542400000000001,2.053,-1489.5040000000001,1.0,,,,,ERC-FoundationFuelv0.9,,MultiArrhenius
5356800.000000001,-0.664,1389.088,1.0,,,,,ERC-FoundationFuelv0.9,,MultiArrhenius
0.22290000000000004,1.89,-4848.000800000001,1.0,,,,,Dooley/methylformate_all_ARHEbathgas,,Arrhenius
93000.00000000001,0.0,0.0,1.0,,,,,Nitrogen_Glarborg_Zhang_et_al,,MultiArrhenius
0.7100000000000001,1.8,4740.472,1.0,,,,,Nitrogen_Glarborg_Zhang_et_al,,MultiArrhenius
0.06187000000000001,2.053,-1489.5040000000001,1.0,,,,,FFCM1(-),,MultiArrhenius
5017000.000000001,-0.664,1389.088,1.0,,,,,FFCM1(-),,MultiArrhenius
