Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,3.4123589650639686e-09,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
400,1.1836370702998292e-05,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
500,0.0017585747282292286,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
600,0.05307559908268875,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
700,0.6375221916282133,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
800,4.277204859814875,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
900,19.377843799719884,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1000,66.49103611211565,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1100,185.9885220910988,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1200,445.59232029626867,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1300,946.429175513318,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1400,1826.8794849821934,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1500,3264.08158986479,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1600,5473.353440334347,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1700,8705.988964988557,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1800,13245.929602192069,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
1900,19405.765966819636,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2000,27522.43990543778,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2100,37952.924293651406,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2200,51070.0732085305,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2300,67258.76527131906,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2400,86912.40920305016,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2500,110429.8414681264,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2600,138212.61876529598,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2700,170662.69038756652,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2800,208180.42471200688,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
2900,251162.95831817918,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
3000,300002.83392433403,Klippenstein_Glarborg2016,CO + HO2 <=> CO2 + OH
300,9.635345389976354e-10,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
400,1.9139177935298383e-05,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
500,0.007256995868864226,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
600,0.38017125200315366,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
700,6.426807192574931,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
800,53.580562616444766,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
900,278.8367005038143,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1000,1043.3356987708387,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1100,3071.163255285264,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1200,7551.535459790483,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1300,16167.950014412909,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1400,31048.688843270662,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1500,54657.084836314265,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1600,89649.78746470466,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1700,138729.6790828948,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1800,204512.84819192204,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
1900,289420.69312452053,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2000,395601.25734838843,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2100,524879.0794320726,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2200,678730.0555396008,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2300,858276.5814212072,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2400,1064298.0404795324,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2500,1297252.1000272813,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2600,1557302.9577323536,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2700,1844353.4441124902,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2800,2158078.619163491,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
2900,2497959.1441958896,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
3000,2863313.2426346825,NIST_Fluorine/seed,CO + HO2 <=> CO2 + OH
300,3.365269370324461e-09,CurranPentane,CO + HO2 <=> CO2 + OH
400,1.1658356119300604e-05,CurranPentane,CO + HO2 <=> CO2 + OH
500,0.0017308194577764818,CurranPentane,CO + HO2 <=> CO2 + OH
600,0.05221163589650498,CurranPentane,CO + HO2 <=> CO2 + OH
700,0.6269192407141844,CurranPentane,CO + HO2 <=> CO2 + OH
800,4.204934797458728,CurranPentane,CO + HO2 <=> CO2 + OH
900,19.046430865835408,CurranPentane,CO + HO2 <=> CO2 + OH
1000,65.34290012198657,CurranPentane,CO + HO2 <=> CO2 + OH
1100,182.7518767547315,CurranPentane,CO + HO2 <=> CO2 + OH
1200,437.7878759014117,CurranPentane,CO + HO2 <=> CO2 + OH
1300,929.7627115569428,CurranPentane,CO + HO2 <=> CO2 + OH
1400,1794.559572550517,CurranPentane,CO + HO2 <=> CO2 + OH
1500,3206.1051827075034,CurranPentane,CO + HO2 <=> CO2 + OH
1600,5375.7979276649085,CurranPentane,CO + HO2 <=> CO2 + OH
1700,8550.34129071468,CurranPentane,CO + HO2 <=> CO2 + OH
1800,13008.474032999757,CurranPentane,CO + HO2 <=> CO2 + OH
1900,19057.043734418265,CurranPentane,CO + HO2 <=> CO2 + OH
2000,27026.787047411104,CurranPentane,CO + HO2 <=> CO2 + OH
2100,37268.08877703324,CurranPentane,CO + HO2 <=> CO2 + OH
2200,50146.90872587744,CurranPentane,CO + HO2 <=> CO2 + OH
2300,66040.99669786646,CurranPentane,CO + HO2 <=> CO2 + OH
2400,85336.46330995971,CurranPentane,CO + HO2 <=> CO2 + OH
2500,108424.73583613073,CurranPentane,CO + HO2 <=> CO2 + OH
2600,135699.9017131764,CurranPentane,CO + HO2 <=> CO2 + OH
2700,167556.4249460363,CurranPentane,CO + HO2 <=> CO2 + OH
2800,204387.21010427026,CurranPentane,CO + HO2 <=> CO2 + OH
2900,246581.98295855348,CurranPentane,CO + HO2 <=> CO2 + OH
3000,294525.9545494163,CurranPentane,CO + HO2 <=> CO2 + OH
300,5.289723402639143e-10,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
400,8.169892584139483e-06,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
500,0.0026637065361464663,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
600,0.12618267488821047,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
700,1.9851575594129105,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
800,15.681637885839557,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
900,78.25678193196975,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
1000,283.1564350990608,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
1100,810.9323451960744,Dooley/methylformate_all_ARHEbathgas,CO + HO2 <=> CO2 + OH
