Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,77.58770534809952,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
400,2175.9804553492468,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
500,16083.191744177828,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
600,61026.30462930537,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
700,158194.70876137767,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
800,323182.7066177333,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
900,563324.2677677996,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1000,878631.4379309085,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1100,1264024.0272138978,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1200,1711508.8729558657,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1300,2211837.2168800607,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1400,2755602.660135552,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1500,3333892.341827405,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1600,3938625.3842744674,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1700,4562689.801954876,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1800,5199958.15875997,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
1900,5845235.691234753,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2000,6494175.006933799,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2100,7143178.0595295625,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2200,7789297.356390185,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2300,8430142.843217432,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2400,9063797.543076608,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2500,9688743.038032662,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2600,10303794.757769728,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2700,10908046.447392812,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2800,11500822.913448693,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
2900,12081640.059723949,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
3000,12650171.240252657,Klippenstein_Glarborg2016,H + H2O2 <=> H2 + HO2
300,177.382484439295,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
400,2791.3705562673044,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
500,16138.199918552973,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
600,55594.17603373826,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
700,141092.09214463003,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
800,294050.1561824717,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
900,535259.8570127275,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1000,883792.3263176503,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1100,1356587.7233475135,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1200,1968423.6568501769,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1300,2732066.05268077,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1400,3658491.5237305365,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1500,4757123.859706776,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1600,6036057.5338239595,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1700,7502257.251026965,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1800,9161730.717354007,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
1900,11019675.661794141,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2000,13080603.746582076,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2100,15348444.475707157,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2200,17826632.14744992,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2300,20518178.6031033,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2400,23425734.15607972,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2500,26551638.717963975,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2600,29897964.803315714,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2700,33466553.8044242,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2800,37259046.68169456,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
2900,41276910.01122074,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
3000,45521458.163027525,NIST_Fluorine/CH2F2/full,H + H2O2 <=> H2 + HO2
300,496.43595465619427,primaryH2O2,H + H2O2 <=> H2 + HO2
400,5465.209119855905,primaryH2O2,H + H2O2 <=> H2 + HO2
500,25590.733508238456,primaryH2O2,H + H2O2 <=> H2 + HO2
600,76777.87046606651,primaryH2O2,H + H2O2 <=> H2 + HO2
700,176833.52097803185,primaryH2O2,H + H2O2 <=> H2 + HO2
800,343098.9846346592,primaryH2O2,H + H2O2 <=> H2 + HO2
900,591323.6054052351,primaryH2O2,H + H2O2 <=> H2 + HO2
1000,935317.9545259116,primaryH2O2,H + H2O2 <=> H2 + HO2
1100,1386990.3604944968,primaryH2O2,H + H2O2 <=> H2 + HO2
1200,1956539.0706141016,primaryH2O2,H + H2O2 <=> H2 + HO2
1300,2652687.637365957,primaryH2O2,H + H2O2 <=> H2 + HO2
1400,3482913.736861218,primaryH2O2,H + H2O2 <=> H2 + HO2
1500,4453652.482355882,primaryH2O2,H + H2O2 <=> H2 + HO2
1600,5570469.523843203,primaryH2O2,H + H2O2 <=> H2 + HO2
1700,6838205.277820626,primaryH2O2,H + H2O2 <=> H2 + HO2
1800,8261093.83072796,primaryH2O2,H + H2O2 <=> H2 + HO2
1900,9842860.525740579,primaryH2O2,H + H2O2 <=> H2 + HO2
2000,11586801.988766652,primaryH2O2,H + H2O2 <=> H2 + HO2
2100,13495851.84621639,primaryH2O2,H + H2O2 <=> H2 + HO2
2200,15572634.84337447,primaryH2O2,H + H2O2 <=> H2 + HO2
2300,17819511.57300122,primaryH2O2,H + H2O2 <=> H2 + HO2
2400,20238615.596852526,primaryH2O2,H + H2O2 <=> H2 + HO2
2500,22831884.39071125,primaryH2O2,H + H2O2 <=> H2 + HO2
2600,25601085.258827742,primaryH2O2,H + H2O2 <=> H2 + HO2
2700,28547837.135943424,primaryH2O2,H + H2O2 <=> H2 + HO2
2800,31673629.013908092,primaryH2O2,H + H2O2 <=> H2 + HO2
2900,34979835.58607649,primaryH2O2,H + H2O2 <=> H2 + HO2
3000,38467730.58850169,primaryH2O2,H + H2O2 <=> H2 + HO2
300,274.5714106512187,CurranPentane,H + H2O2 <=> H2 + HO2
400,4532.315682484702,CurranPentane,H + H2O2 <=> H2 + HO2
500,25636.918599865447,CurranPentane,H + H2O2 <=> H2 + HO2
600,84166.15943953629,CurranPentane,H + H2O2 <=> H2 + HO2
700,201507.75159049215,CurranPentane,H + H2O2 <=> H2 + HO2
800,394856.5049197921,CurranPentane,H + H2O2 <=> H2 + HO2
900,675636.0840861843,CurranPentane,H + H2O2 <=> H2 + HO2
1000,1049946.4271067425,CurranPentane,H + H2O2 <=> H2 + HO2
1100,1519729.5525249948,CurranPentane,H + H2O2 <=> H2 + HO2
1200,2083980.2847148227,CurranPentane,H + H2O2 <=> H2 + HO2
1300,2739753.977788426,CurranPentane,H + H2O2 <=> H2 + HO2
1400,3482925.012937779,CurranPentane,H + H2O2 <=> H2 + HO2
1500,4308725.6197836,CurranPentane,H + H2O2 <=> H2 + HO2
1600,5212113.538525585,CurranPentane,H + H2O2 <=> H2 + HO2
1700,6188014.3301706165,CurranPentane,H + H2O2 <=> H2 + HO2
1800,7231475.154370005,CurranPentane,H + H2O2 <=> H2 + HO2
1900,8337757.523256392,CurranPentane,H + H2O2 <=> H2 + HO2
2000,9502388.790782025,CurranPentane,H + H2O2 <=> H2 + HO2
2100,10721186.242784936,CurranPentane,H + H2O2 <=> H2 + HO2
2200,11990263.369453756,CurranPentane,H + H2O2 <=> H2 + HO2
2300,13306024.867513007,CurranPentane,H + H2O2 <=> H2 + HO2
2400,14665154.802543674,CurranPentane,H + H2O2 <=> H2 + HO2
2500,16064600.899148256,CurranPentane,H + H2O2 <=> H2 + HO2
2600,17501556.922649655,CurranPentane,H + H2O2 <=> H2 + HO2
2700,18973444.430430986,CurranPentane,H + H2O2 <=> H2 + HO2
2800,20477894.705211,CurranPentane,H + H2O2 <=> H2 + HO2
2900,22012731.367861886,CurranPentane,H + H2O2 <=> H2 + HO2
3000,23575953.95635315,CurranPentane,H + H2O2 <=> H2 + HO2
300,3099.908185725952,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
400,15001.125815757869,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
500,38635.70728810869,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
600,72593.69060554863,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
700,113906.59837971012,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
800,159693.18672626076,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
900,207689.98640040527,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1000,256282.46602096054,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1100,304383.8626652461,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1200,351296.5613686429,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1300,396596.52128299675,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1400,440046.8352863218,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1500,481536.1579178008,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1600,521035.90800888505,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1700,558570.9138495679,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1800,594199.4420063763,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
1900,627999.6958645441,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2000,660060.7488978821,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
