Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,43286806.73008999,Klippenstein_Glarborg2016,HO2 + H <=> OH + OH
400,48987045.7080957,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
500,52761443.50391126,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
600,55437922.74099374,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
700,57432424.306060486,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
800,58975251.12515245,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
900,60203824.65282912,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1000,61205085.48133643,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1100,62036672.3612862,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1200,62738285.875616305,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1300,63338153.02449043,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1400,63856887.84876926,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1500,64309893.265500106,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1600,64708908.42755597,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1700,65063036.08878625,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1800,65379442.872747615,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
1900,65663847.73910742,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2000,65920869.75438725,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2100,66154280.25558257,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2200,66367188.71288221,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2300,66562181.76664513,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2400,66741428.6419519,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2500,66906762.05565202,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2600,67059741.01306104,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2700,67201700.05227873,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
2800,67333788.22896138,Klippenstein_Glarborg2016,H + HO2 <=> OH + OH
