Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
400,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
500,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
600,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
700,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
800,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
900,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1000,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1100,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1200,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1300,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1400,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1500,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1600,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1700,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1800,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
1900,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2000,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2100,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2200,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2300,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2400,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2500,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2600,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2700,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2800,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
2900,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
3000,0.0,Klippenstein_Glarborg2016,H + O + M <=> OH + M
300,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
400,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
500,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
600,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
700,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
800,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
900,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
1000,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
1100,0.0,NIST_Fluorine/seed,H + O + M <=> OH + M
