Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
300,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
400,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
500,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
600,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
700,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
800,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
900,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1000,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1100,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1200,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1300,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1400,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1500,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1600,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1700,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1800,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
1900,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2000,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2100,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2200,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2300,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2400,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2500,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2600,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2700,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2800,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
2900,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
3000,30000000.000000004,Klippenstein_Glarborg2016,HCO + O <=> CO + OH
