T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,ignition_type,ignition_target,ignition_amount,ignition_units,filename
943,K,22.3,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,3340.0,us,d/dt max,P;,,,x10001001.xml
947,K,20.9,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,3520.0,us,d/dt max,P;,,,x10001001.xml
962,K,28.9,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,2460.0,us,d/dt max,P;,,,x10001001.xml
987,K,23.8,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,2010.0,us,d/dt max,P;,,,x10001001.xml
990,K,20.9,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,1970.0,us,d/dt max,P;,,,x10001001.xml
1001,K,20.9,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,1880.0,us,d/dt max,P;,,,x10001001.xml
1013,K,21.6,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,2030.0,us,d/dt max,P;,,,x10001001.xml
1019,K,32.7,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,1570.0,us,d/dt max,P;,,,x10001001.xml
1024,K,16.5,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,2380.0,us,d/dt max,P;,,,x10001001.xml
1033,K,23.7,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,2150.0,us,d/dt max,P;,,,x10001001.xml
1053,K,18.7,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,1560.0,us,d/dt max,P;,,,x10001001.xml
1059,K,20.1,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,1250.0,us,d/dt max,P;,,,x10001001.xml
1148,K,21.4,atm,"H2:0.0733, CO:0.0971, CO2:0.0198, O2:0.1701, N2:0.6397",0.5008818342151675,380.0,us,d/dt max,P;,,,x10001001.xml
1040,K,13.4,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,5027.0,us,max,OHEX;,,,x10001021_x.xml
