ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4.79,1772.58,3.37,0.10,109.41,109.51,20.93,436.95
5.14,1715.21,3.21,0.12,151.51,151.63,24.63,479.13
5.67,1701.99,3.17,0.14,163.89,164.03,25.62,451.77
6.00,1632.78,2.97,0.16,252.51,252.67,31.79,529.85
6.90,1628.77,2.95,0.21,259.19,259.39,32.21,466.83
7.72,1546.99,2.71,0.26,451.13,451.39,42.49,550.41
10.70,1530.91,2.67,0.47,505.42,505.90,44.98,420.41
10.80,1509.97,2.61,0.48,587.19,587.67,48.48,448.92
11.90,1509.97,2.61,0.58,587.19,587.77,48.49,407.46
14.90,1481.28,2.52,0.87,724.03,724.89,53.85,361.39
16.90,1408.83,2.31,1.08,1267.66,1268.74,71.24,421.53
17.90,1398.42,2.28,1.20,1383.75,1384.95,74.43,415.81
20.60,1414.84,2.33,1.53,1206.54,1208.07,69.51,337.45
21.20,1368.10,2.19,1.61,1827.37,1828.98,85.53,403.46
26.80,1383.81,2.24,2.38,1574.09,1576.47,79.41,296.30
37.50,1339.06,2.11,4.14,2516.81,2520.95,100.42,267.78
37.50,1295.84,1.98,4.14,4852.54,4856.68,139.38,371.68
48.90,1302.21,2.00,6.66,4328.02,4334.68,131.68,269.28
49.00,1293.31,1.97,6.68,5087.94,5094.62,142.75,291.33
54.00,1266.13,1.89,8.11,9074.36,9082.47,190.60,352.97
75.50,1251.77,1.85,15.86,12942.60,12958.46,227.67,301.55
94.40,1235.43,1.80,24.80,20105.36,20130.16,283.76,300.59
99.90,1230.84,1.79,27.77,22892.04,22919.81,302.79,303.09
107.00,1248.23,1.84,31.86,14193.87,14225.73,238.54,222.94
132.00,1247.06,1.84,48.48,14641.54,14690.03,242.40,183.64
104.00,1215.04,1.74,30.10,36401.30,36431.39,381.74,367.06
146.00,1202.90,1.71,59.31,52762.53,52821.84,459.66,314.84
172.00,1219.51,1.76,82.32,31843.71,31926.03,357.36,207.77
228.00,1179.35,1.64,144.65,111511.07,111655.72,668.30,293.11
216.00,1167.92,1.61,129.82,161962.41,162092.23,805.21,372.78
266.00,1153.68,1.57,196.88,259575.34,259772.22,1019.36,383.22
342.00,1147.68,1.55,325.46,317252.63,317578.09,1127.08,329.56
310.00,1135.88,1.51,267.40,472343.11,472610.52,1374.93,443.53
458.00,1133.93,1.51,583.68,504530.20,505113.88,1421.43,310.36
748.00,1101.87,1.41,1895.32,1514791.28,1516686.60,2463.08,329.29
