ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
764.00,1027.00,1.04,2020.32,2661.29,4681.61,136.84,17.91
1030.00,995.00,1.02,5142.47,3678.58,8821.05,187.84,18.24
1190.00,982.00,1.02,7760.27,4084.73,11844.99,217.67,18.29
1680.00,957.00,1.03,17019.78,4782.48,21802.27,295.31,17.58
2080.00,941.00,1.10,26152.58,24395.55,50548.14,449.66,21.62
2260.00,939.00,1.04,30875.68,7208.99,38084.67,390.31,17.27
2830.00,937.00,1.02,48414.30,8804.24,57218.54,478.41,16.90
3440.00,934.00,1.08,71534.85,19390.87,90925.72,603.08,17.53
3150.00,927.00,1.10,59982.13,39542.65,99524.78,630.95,20.03
3810.00,923.00,1.03,87750.73,14386.82,102137.55,639.18,16.78
