ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
398.00,1121.00,15.14,440.77,3616.66,4057.43,127.40,32.01
460.00,1120.00,16.05,588.79,4456.02,5044.81,142.05,30.88
538.00,1116.00,16.15,809.80,5389.85,6199.65,157.48,29.27
707.00,1109.00,15.99,1606.27,6858.74,8465.01,184.01,26.03
678.00,1106.00,16.37,1427.49,8717.03,10144.51,201.44,29.71
1250.00,1087.00,15.73,8816.04,16362.85,25178.89,317.36,25.39
1360.00,1078.00,15.13,10810.87,22225.44,33036.31,363.52,26.73
1730.00,1068.00,16.09,18064.89,41708.40,59773.29,488.97,28.26
2680.00,1050.00,16.10,43418.06,96822.89,140240.95,748.98,27.95
3340.00,1035.00,16.21,67436.30,207486.19,274922.49,1048.66,31.40
4010.00,1021.00,15.97,97205.21,392652.44,489857.65,1399.80,34.91
4250.00,1018.00,15.43,109188.94,409363.74,518552.68,1440.21,33.89
