ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
1220.00,890.00,1.89,8284.67,24071968.90,24080253.57,9814.33,804.45
1141.00,925.00,2.04,6922.06,5728745.93,5735668.00,4789.85,419.79
1164.00,942.00,2.11,7312.37,2859858.80,2867171.17,3386.54,290.94
1120.00,950.00,2.16,6571.19,2547648.82,2554220.02,3196.39,285.39
1020.00,957.00,2.18,4992.72,1923626.48,1928619.20,2777.49,272.30
958.00,975.00,2.26,4113.33,1056000.45,1060113.79,2059.24,214.95
630.00,980.00,2.28,1173.89,831743.28,832917.17,1825.29,289.73
624.00,990.00,2.33,1145.59,653443.99,654589.58,1618.13,259.32
160.00,1000.00,2.37,71.23,461682.61,461753.84,1359.05,849.41
158.00,1005.00,2.37,69.46,348599.75,348669.21,1180.96,747.45
190.00,1015.00,2.42,100.45,263918.49,264018.94,1027.66,540.87
179.00,1018.00,2.45,89.16,269346.31,269435.46,1038.14,579.97
160.00,1023.00,2.47,71.23,241291.95,241363.18,982.57,614.11
120.00,1042.00,2.58,40.07,167179.46,167219.53,817.85,681.54
126.00,1060.00,2.67,44.18,112813.98,112858.16,671.89,533.24
120.00,1063.00,2.69,40.07,109345.15,109385.22,661.47,551.22
138.00,1076.00,2.74,52.99,71571.42,71624.41,535.25,387.87
