ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
6680.00,947.00,14.90,269745.20,4087357.29,4357102.49,4174.73,62.50
5490.00,964.00,15.00,182198.79,1741089.64,1923288.43,2773.65,50.52
4770.00,987.00,15.00,137542.70,549755.97,687298.67,1658.07,34.76
3000.00,1006.00,14.80,54405.56,205009.35,259414.91,1018.66,33.96
2300.00,1028.00,16.09,31978.33,127690.77,159669.10,799.17,34.75
1540.00,1052.00,15.40,14214.89,33263.85,47478.74,435.79,28.30
1170.00,1064.00,16.38,7415.14,30764.19,38179.33,390.79,33.40
762.00,1083.00,14.01,2004.31,5442.35,7446.66,172.59,22.65
695.00,1094.00,14.31,1529.81,3898.39,5428.20,147.35,21.20
534.00,1100.00,15.30,796.94,4514.58,5311.52,145.76,27.30
200.00,1149.00,14.71,111.30,575.82,687.13,52.43,26.21
84.00,1173.00,14.11,19.63,201.12,220.75,29.72,35.38
80.00,1177.00,14.01,17.81,169.70,187.51,27.39,34.23
46.00,1204.00,14.51,5.92,83.07,88.99,18.87,41.02
38.00,1208.00,14.61,4.23,75.82,80.06,17.89,47.09
24.00,1227.00,14.71,1.98,43.37,45.35,13.47,56.12
