ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
3340.00,943.00,22.30,67436.30,69174.10,136610.40,739.22,22.13
3520.00,947.00,20.90,74900.74,66360.72,141261.46,751.70,21.35
2460.00,962.00,28.90,36582.30,42420.55,79002.85,562.15,22.85
2010.00,987.00,23.80,24420.94,19825.60,44246.53,420.70,20.93
1970.00,990.00,20.90,23457.62,20479.39,43937.02,419.22,21.28
1880.00,1001.00,20.90,21358.91,15666.38,37025.29,384.84,20.47
2030.00,1013.00,21.60,24909.72,11327.97,36237.69,380.72,18.75
1570.00,1019.00,32.70,14802.33,12085.05,26887.38,327.95,20.89
2380.00,1024.00,16.50,34241.64,17851.78,52093.42,456.48,19.18
2150.00,1033.00,23.70,27942.97,6912.97,34855.94,373.39,17.37
1560.00,1053.00,18.70,14605.77,6594.35,21200.12,291.21,18.67
1250.00,1059.00,20.10,8816.04,4950.56,13766.60,234.66,18.77
380.00,1148.00,21.40,401.80,1114.84,1516.64,77.89,20.50
