ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
5424.00,997.00,16.03,177844.38,626790.29,804634.67,1794.03,33.08
5209.00,1000.00,15.65,164024.80,567924.94,731949.73,1711.08,32.85
4840.00,1007.00,15.48,141609.22,391448.94,533058.16,1460.22,30.17
4626.00,1015.00,16.62,129363.59,201105.42,330469.01,1149.73,24.85
3212.00,1034.00,15.48,62366.57,80354.11,142720.68,755.57,23.52
1861.00,1068.00,15.77,20927.84,11415.64,32343.48,359.69,19.33
1246.00,1085.00,14.51,8744.83,8714.86,17459.69,264.27,21.21
849.00,1106.00,15.89,2805.86,1608.94,4414.80,132.89,15.65
594.00,1116.00,15.77,1014.37,1018.70,2033.07,90.18,15.18
299.00,1143.00,15.99,248.76,275.08,523.84,45.78,15.31
262.00,1145.00,15.42,191.01,295.26,486.27,44.10,16.83
268.00,1146.00,15.79,199.85,250.23,450.09,42.43,15.83
80.00,1174.00,16.10,17.81,68.63,86.44,18.59,23.24
68.00,1179.00,15.65,12.87,61.06,73.92,17.20,25.29
30.00,1205.00,15.89,2.87,19.56,22.43,9.47,31.57
31.00,1215.00,15.12,3.03,17.23,20.25,9.00,29.04
