,mu,mu_star,sigma,mu_star_conf
2 O + M <=> O2 + M,-1.6474548897802554e-07,2.3923080171553606e-07,3.1589229424387404e-07,1.7375003543370503e-07
H + O2 (+M) <=> HO2 (+M),7.968591968711912e-07,8.389364640720956e-07,1.4564300382058278e-06,1.075441063350264e-06
HO2 + O <=> O2 + OH,-3.61583370392214e-08,1.4351626642820844e-07,1.7747935082016016e-07,6.251352691092063e-08
H + HO2 <=> 2 OH,-7.268038700453436e-06,7.268038700453436e-06,7.832450485246178e-06,5.927088434081605e-06
H + O + M <=> OH + M,5.3022491792685657e-08,4.5067975263073854e-07,6.515691434401679e-07,3.3102134475418645e-07
H + O2 <=> O + OH,-0.00010058226591375339,0.00010058226591375339,3.395519677328316e-05,2.8154316382219483e-05
H + HO2 <=> H2 + O2,1.0159595049036689e-05,1.0345290046140856e-05,1.0498373626143528e-05,7.242503570808442e-06
H2 + O <=> H + OH,-1.5946044371446883e-06,4.857337695559278e-06,,5.559642874036596e-06
2 H + M <=> H2 + M,2.5856388494278633e-07,2.6684971246809137e-07,2.2052800572426952e-07,1.5480467585050846e-07
2 H + H <=> H2 + H,-7.881563681160668e-08,2.714074910216107e-07,4.565394859192364e-07,2.570334180354294e-07
2 H + N2 <=> H2 + N2,0.0,0.0,0.0,0.0
2 H + H2 <=> H2 + H2,-9.175930863858277e-08,1.5292088516741532e-07,1.6419464287284823e-07,7.058506070769101e-08
2 H + AR <=> H2 + AR,3.5157743788779185e-07,3.5157743788779185e-07,3.1688118366282437e-07,2.3247526667800594e-07
H2 + O2 <=> 2 OH,-2.746251946316251e-07,2.746251946316251e-07,3.0467665146741075e-07,2.2258051513419002e-07
2 HO2 <=> H2O2 + O2,-4.851905089446856e-08,3.1455427666200037e-07,,1.2580599255403367e-07
H2O2 + O <=> HO2 + OH,6.792794636023701e-08,1.6968495201834052e-07,1.869435970326586e-07,5.8404107472178936e-08
H + H2O2 <=> H2 + HO2,1.1623490013310764e-07,3.3444993709985864e-07,4.2445583556658326e-07,1.9807102986539067e-07
2 OH (+M) <=> H2O2 (+M),-6.181021290231169e-07,6.181021290231169e-07,2.8809320383414635e-07,2.332618028181385e-07
H2O2 + OH <=> H2O + HO2,3.071570026691625e-07,4.294758354090831e-07,,3.2869993749239715e-07
HO2 + OH <=> H2O + O2,4.6045667186474446e-08,5.248956329369111e-07,,1.823155692542704e-07
2 OH <=> H2O + O,5.217012495970094e-08,3.275809141730897e-07,5.13247757090082e-07,3.076139992338483e-07
H + H2O2 <=> H2O + OH,-8.267394052206264e-08,2.4397871010367543e-07,2.894206640288887e-07,1.1630694918799201e-07
H + HO2 <=> H2O + O,2.3023512468080125e-07,3.0842085540061496e-07,3.3683236087146235e-07,1.946111262398733e-07
H + OH (+M) <=> H2O (+M),-3.121339561080723e-07,4.746575730337995e-07,4.6797325927589927e-07,1.7487250126600874e-07
H2 + OH <=> H + H2O,-7.025999481222731e-06,7.025999481222731e-06,5.439998172952472e-06,4.154805277103984e-06
2 H + H2O <=> H2 + H2O,5.245505226314047e-07,5.245505226314047e-07,5.510539554878375e-07,4.4710550931200575e-07
C + OH <=> CO + H,-3.9017321409392806e-08,1.3964767542202e-07,1.8489655655655255e-07,9.368717477631906e-08
C + O2 <=> CO + O,2.586516454494993e-07,3.990334529383287e-07,5.766772809795793e-07,3.866234077554856e-07
CO + HO2 <=> CO2 + OH,-2.1091424459304069e-07,3.7731250117322274e-07,4.490457867208555e-07,1.9591947482956958e-07
CO + O (+M) <=> CO2 (+M),-1.4644608412826538e-07,1.8709433880989566e-07,2.4530241934435197e-07,1.5778341586087598e-07
CO + OH <=> CO2 + H,-6.087359836870246e-08,2.97909472401347e-07,,2.7764597807216146e-07
CO + O2 <=> CO2 + O,-1.3104146074876507e-07,2.407789248071919e-07,2.8339325917745686e-07,1.273788753199843e-07
CH + H <=> C + H2,2.9653165007249165e-07,3.683698209688577e-07,5.201861662455453e-07,4.2636970874142697e-07
CH + O <=> CO + H,3.2960008622558746e-07,4.5140472405406195e-07,6.078161841901237e-07,3.8607500026339087e-07
CH + O2 <=> CO2 + H,-1.0830031198112496e-07,1.8178055257497202e-07,2.0139888344817436e-07,8.245042448469761e-08
CH + O2 <=> CO + OH,-2.7905315659326474e-08,2.7975597913810087e-07,4.0880473151545816e-07,1.9630852122493952e-07
CH + OH <=> H + HCO,-1.986518554092472e-07,1.986518554092472e-07,2.106802224423369e-07,1.778600936377053e-07
CH + CO2 <=> CO + HCO,-1.201841145815507e-07,1.5073760207272616e-07,1.3657637309907426e-07,7.765173568152925e-08
HCO + M <=> CO + H + M,-1.6921063905863958e-05,1.6921063905863958e-05,1.0353613308215903e-05,7.183659729420269e-06
HCO + HO2 <=> CO2 + H + OH,-1.0351394941467764e-07,5.895207662952261e-07,7.895511318198231e-07,3.4138636736239396e-07
HCO + OH <=> CO + H2O,1.5632432878507456e-06,1.5632432878507456e-06,1.5551229664180366e-06,1.147601781544419e-06
HCO + O <=> CO2 + H,-3.923131902156294e-08,2.1145058535086583e-07,3.297970242678845e-07,1.7911603080046798e-07
HCO + O <=> CO + OH,-9.751172769415387e-08,3.97794173164583e-07,5.8667034049563e-07,3.0408686663737533e-07
H + HCO <=> CO + H2,2.3616635165829077e-06,2.3616635165829077e-06,1.0405052165823327e-06,9.322318083502198e-07
HCO + O2 <=> CO2 + OH,-7.653955094879903e-07,7.653955094879903e-07,6.646476638039828e-07,4.7391647789468165e-07
HCO + O2 <=> CO + HO2,6.364801906608226e-06,6.364801906608226e-06,3.0101365820511677e-06,2.477145019536217e-06
CH2 + O <=> CO + H2,4.859485705465026e-07,4.859485705465026e-07,5.853614335711439e-07,4.965383792338986e-07
CH2 + O <=> CO + 2 H,-1.9600559847816586e-07,2.14623816457838e-07,1.7534986550636522e-07,1.0565718188907502e-07
CH2 + H <=> CH + H2,-2.1477969306637854e-08,1.8247197534688967e-07,2.768394877576535e-07,1.3269987430028436e-07
CH2 + O2 <=> CO + H2O,2.0347391449582927e-06,2.0347391449582927e-06,2.8225653738152814e-06,2.1647320830768075e-06
CH2 + O2 <=> CO + H + OH,-2.631550622874643e-06,2.631550622874643e-06,7.745424681786972e-07,6.420483515156678e-07
CH2 + O2 <=> CO2 + 2 H,-4.149491728219356e-06,4.149491728219356e-06,2.980764547990805e-06,2.3187200150910554e-06
CH2 + O2 <=> CO2 + H2,2.3230526279764715e-06,2.3230526279764715e-06,7.579819579659555e-07,6.036407323103775e-07
CH2(S) + M <=> CH2 + M,3.1517736108848223e-07,6.412384050570716e-07,7.524490917405613e-07,3.6890559439376576e-07
CH2(S) + H <=> CH2 + H,-1.3377687415583296e-08,4.408490151181513e-07,5.523327997422249e-07,2.0359441964252253e-07
CH2(S) + O2 <=> CO + H + OH,-2.9721011042541633e-06,2.9721011042541633e-06,2.8583251025016324e-06,2.3642595009273787e-06
2 HCO <=> CH2O + CO,6.014146379851775e-08,3.600713366029503e-07,4.974821250801093e-07,2.5261162475313416e-07
CH2 + OH <=> CH2O + H,1.929381473080258e-07,1.929381473080258e-07,9.357514566406421e-08,6.716523167158598e-08
H + HCO (+M) <=> CH2O (+M),-2.0091969784124974e-07,3.0541300929716006e-07,3.971386515602174e-07,2.200023134850516e-07
CO + H2 (+M) <=> CH2O (+M),-9.72261891573996e-08,2.9834627341917384e-07,3.9421418369027517e-07,2.0382012684479055e-07
CH2O + HO2 <=> H2O2 + HCO,1.2997442143579884e-07,3.931051547571306e-07,4.968952862548937e-07,2.00413400090008e-07
CH2O + OH <=> H2O + HCO,-1.306318585441452e-07,1.0168455967893381e-06,1.4056804993837862e-06,6.774058200802662e-07
CH2O + O <=> HCO + OH,-1.918950889252561e-06,1.939796882736457e-06,2.1780970910907317e-06,1.4962873273025388e-06
CH + CH2O <=> CH2 + HCO,-1.7011356752880307e-07,1.7011356752880307e-07,1.5717794284344588e-07,1.2669557889391616e-07
CH2O + H <=> H2 + HCO,1.4437168984207938e-06,1.4437168984207938e-06,8.783992002099197e-07,7.595012144390566e-07
CH2 + CO2 <=> CH2O + CO,-1.7906305364261126e-07,3.5815865339029945e-07,3.88171215748702e-07,1.290420459877138e-07
CH2 + O2 <=> CH2O + O,4.2662792414919113e-07,9.66178191378364e-07,1.3082408483833074e-06,7.044834004263993e-07
CH2O + O2 <=> HCO + HO2,1.0361544878811617e-07,3.6406816643471533e-07,5.536117830545049e-07,2.6110263401108835e-07
CH2O + CH3 <=> CH4 + HCO,-5.397117508189847e-07,9.056041556411019e-07,1.6689680992780166e-06,1.0037639706041566e-06
CH3 + H <=> CH2 + H2,3.2948818597578516e-08,1.87878284963732e-07,2.3008296552569534e-07,7.218536271000374e-08
CH3 + M <=> CH2 + H + M,2.3753050078872568e-07,4.1525351584734615e-07,4.1075434947953907e-07,1.1915048680701917e-07
CH3 + OH <=> CH2(S) + H2O,-3.94920676823875e-06,3.94920676823875e-06,3.499606385371216e-06,3.051444265116739e-06
CH3 + O <=> CH2O + H,3.066337135011743e-06,3.2153586328564643e-06,4.000264187502357e-06,3.1645548199795935e-06
CH2 + HCO <=> CH3 + CO,-1.323663576969551e-07,3.1135282368822503e-07,3.95226564767407e-07,1.7361924454274102e-07
CH3 + O2 <=> CH2O + OH,-1.0283698137262298e-06,1.0283698137262298e-06,1.1122700853443864e-06,8.816423841092656e-07
CH2(S) + H2 <=> CH3 + H,1.943362915056437e-07,3.0702715940993656e-07,3.287367753960655e-07,1.5601293326471477e-07
CH3O + CO <=> CH3 + CO2,1.9076172925553223e-07,2.338274257116126e-07,3.0925875690851117e-07,2.0340765353458177e-07
CH3O + HO2 <=> CH2O + H2O2,3.421533065391267e-07,4.1275709683413353e-07,3.14749487112608e-07,1.3862525586166492e-07
CH3O + H <=> CH2(S) + H2O,3.541125225757354e-07,4.6632678674222126e-07,7.018670315198736e-07,4.793264976535856e-07
