,mu,mu_star,sigma,mu_star_conf
2 O + M <=> O2 + M,-2.1557718316723448e-07,3.1464813300331394e-07,4.169771038765596e-07,2.107010796262566e-07
H + O2 (+M) <=> HO2 (+M),1.103493323538714e-06,1.2909041937784303e-06,1.9835878132825707e-06,1.0839333545017027e-06
HO2 + O <=> O2 + OH,1.9314464703931325e-07,4.342332496323653e-07,5.825642955080522e-07,2.3935393934558074e-07
H + HO2 <=> 2 OH,-8.723256785894476e-06,8.723256785894476e-06,1.6690548073688495e-05,9.694277267097866e-06
H + O + M <=> OH + M,8.378334257119789e-08,2.738944329426455e-07,3.83532705261532e-07,1.6090729315507263e-07
H + O2 <=> O + OH,-0.0001322036061329495,0.0001322036061329495,8.631941355872779e-05,4.878017171705725e-05
H + HO2 <=> H2 + O2,6.031911894851122e-06,6.031911894851122e-06,1.0286154571605174e-05,6.136947699085536e-06
H2 + O <=> H + OH,-1.6591596513526228e-06,2.5965421604373283e-06,,1.9020243971869546e-06
2 H + M <=> H2 + M,1.1963988572640604e-07,3.405112806880064e-07,4.0856749616088357e-07,1.5159030028247485e-07
2 H + H <=> H2 + H,-1.8540851069313185e-08,3.060058895075397e-07,4.846521221885056e-07,1.8587490942024603e-07
2 H + N2 <=> H2 + N2,0.0,0.0,0.0,0.0
2 H + H2 <=> H2 + H2,-2.7041166691962596e-08,4.041314886242968e-07,5.239417422260572e-07,1.7686848078383877e-07
2 H + AR <=> H2 + AR,8.474217565620448e-08,1.8958633659808784e-07,2.4242689400961217e-07,1.0198197277052281e-07
H2 + O2 <=> 2 OH,-4.280570665437241e-08,2.872745727734249e-07,4.0550787724927297e-07,1.4618970575033795e-07
2 HO2 <=> H2O2 + O2,-9.965451588119465e-08,3.141182338451732e-07,,1.6710296529190446e-07
H2O2 + O <=> HO2 + OH,2.815668606318786e-07,3.2426665942697817e-07,3.7485404365613734e-07,1.7552003525664542e-07
H + H2O2 <=> H2 + HO2,-1.9943406826455685e-09,2.2757039756771984e-07,3.2150285431907164e-07,1.1822961087270826e-07
2 OH (+M) <=> H2O2 (+M),-8.237452949285714e-08,3.179394607492229e-07,3.667045970176768e-07,1.0115433491243261e-07
H2O2 + OH <=> H2O + HO2,5.885426707017138e-08,1.9676780693969143e-07,,1.0639093819173128e-07
HO2 + OH <=> H2O + O2,4.307988692688715e-07,8.880103921660514e-07,,5.204552437859825e-07
2 OH <=> H2O + O,-9.072350623776046e-08,2.207811935414233e-07,2.943598617088898e-07,1.1115109829089187e-07
H + H2O2 <=> H2O + OH,1.8920574287297116e-07,2.928400919633741e-07,4.401349883187252e-07,2.320557446882195e-07
H + HO2 <=> H2O + O,3.3106221796590103e-08,5.074012297920054e-07,7.491901230578785e-07,3.1349548594395255e-07
H + OH (+M) <=> H2O (+M),5.67962232440611e-08,2.6952407326228454e-07,3.9432709373391736e-07,1.5927123627904024e-07
H2 + OH <=> H + H2O,-6.3094696253931196e-06,6.3094696253931196e-06,5.51295343958e-06,3.203083063163161e-06
2 H + H2O <=> H2 + H2O,5.978023087521118e-08,4.0158243364020525e-07,5.264234459394912e-07,1.8677559507096828e-07
C + OH <=> CO + H,-9.791570796833334e-08,3.392996501282179e-07,3.971573019793707e-07,1.2923285237771218e-07
C + O2 <=> CO + O,-2.3769019896025213e-08,5.218352464916258e-07,7.052361798832316e-07,2.790463242495778e-07
CO + HO2 <=> CO2 + OH,9.679390144884355e-08,1.4077398117535914e-07,1.4668507468784917e-07,5.680332576206646e-08
CO + O (+M) <=> CO2 (+M),-1.0955992157655301e-07,4.872087291187594e-07,6.372737684203542e-07,2.6341516987628233e-07
CO + OH <=> CO2 + H,-8.03932809711468e-08,3.1864491066858854e-07,,1.2914602236650754e-07
CO + O2 <=> CO2 + O,-6.25464479713077e-08,2.192054987273324e-07,3.584116076928214e-07,1.7252869358717927e-07
CH + H <=> C + H2,-6.266744199183598e-09,2.507215263781977e-07,3.4387456564332603e-07,1.0753672112844548e-07
CH + O <=> CO + H,1.45475190471e-07,2.7345604956232805e-07,3.8251251909746594e-07,1.6829163125829504e-07
CH + O2 <=> CO2 + H,-1.2313028425066035e-06,1.3734203640011416e-06,1.8817141662129056e-06,1.0444305632414215e-06
CH + O2 <=> CO + OH,-3.4728580786062673e-07,5.28494827151126e-07,6.288788761247565e-07,2.76273617488651e-07
CH + OH <=> H + HCO,-3.1353611127966504e-07,4.553557814134749e-07,7.20826945889504e-07,3.5910534404081406e-07
CH + CO2 <=> CO + HCO,1.8373655621692684e-07,2.5762944951300865e-07,2.719179537680053e-07,1.359477581322098e-07
HCO + M <=> CO + H + M,-3.08777444086466e-05,3.08777444086466e-05,3.305884546762687e-05,1.8807639989640427e-05
HCO + HO2 <=> CO2 + H + OH,-7.585579785528937e-08,4.5119597393348607e-07,6.384371303232079e-07,2.3784875993641427e-07
HCO + OH <=> CO + H2O,1.7897375085607175e-06,1.7897375085607175e-06,1.5822020254261807e-06,8.632497306333027e-07
HCO + O <=> CO2 + H,3.359166694888327e-08,2.727473465898692e-07,4.3523056401881286e-07,2.0974984573952573e-07
HCO + O <=> CO + OH,2.761660699982158e-07,3.450536270368416e-07,3.674303158332621e-07,1.6984891339377408e-07
H + HCO <=> CO + H2,6.690466011311419e-06,6.690466011311419e-06,7.611523193844764e-06,4.7713654280834075e-06
HCO + O2 <=> CO2 + OH,-9.746098850691938e-07,9.746098850691938e-07,9.414047151490888e-07,5.193175840931835e-07
HCO + O2 <=> CO + HO2,1.4563640647067972e-05,1.4563640647067972e-05,1.7826356940158943e-05,1.1858053590921139e-05
CH2 + O <=> CO + H2,8.810973005730334e-07,8.810973005730334e-07,7.644223972995092e-07,4.608402861086309e-07
CH2 + O <=> CO + 2 H,-5.5709173427214744e-08,2.764919318522098e-07,3.401009656768997e-07,9.457579026813945e-08
CH2 + H <=> CH + H2,3.51019774917574e-07,4.3736511374033174e-07,3.3616336070718974e-07,1.0373451840252599e-07
CH2 + O2 <=> CO + H2O,1.3525049363495852e-06,1.3647678479744616e-06,1.1598020262476828e-06,6.534957503918527e-07
CH2 + O2 <=> CO + H + OH,-7.242059406863724e-06,7.242059406863724e-06,1.2294953779072744e-05,6.60920273326971e-06
CH2 + O2 <=> CO2 + 2 H,-3.634964925535308e-06,3.634964925535308e-06,1.834025406339656e-06,1.1776392078197462e-06
CH2 + O2 <=> CO2 + H2,3.816305433384822e-06,3.816305433384822e-06,3.164757069162431e-06,2.0083700832471436e-06
CH2(S) + M <=> CH2 + M,-3.966675577316034e-07,7.689736175559866e-07,1.4200184169386811e-06,7.077323071678103e-07
CH2(S) + H <=> CH2 + H,-6.851118173456025e-08,3.3107021836146195e-07,4.59156638934869e-07,1.731013941209713e-07
CH2(S) + O2 <=> CO + H + OH,-3.1526055071317296e-06,3.1526055071317296e-06,2.822633235009878e-06,1.8512795576666018e-06
2 HCO <=> CH2O + CO,-7.702434765370693e-08,4.6819337101708853e-07,6.801311932055372e-07,2.4708949492033273e-07
CH2 + OH <=> CH2O + H,2.3620632775261483e-07,4.4382237499421826e-07,6.551502873290968e-07,2.9881562881324305e-07
H + HCO (+M) <=> CH2O (+M),-1.1650808468274659e-07,2.205530567229806e-07,2.7844170250709684e-07,1.1780885240331266e-07
CO + H2 (+M) <=> CH2O (+M),-4.089301005057032e-08,3.3927724347818807e-07,4.0776655295929614e-07,9.715671116366372e-08
CH2O + HO2 <=> H2O2 + HCO,1.6748266377482338e-08,3.3413576747924706e-07,4.3178593033727617e-07,1.477793745799184e-07
CH2O + OH <=> H2O + HCO,-4.014945977458058e-08,1.0462181612415591e-06,1.466089873462974e-06,5.543936656873614e-07
CH2O + O <=> HCO + OH,-1.041203215373332e-06,1.1227436801772272e-06,1.0450743741993216e-06,5.914740386656409e-07
CH + CH2O <=> CH2 + HCO,9.924961968310498e-08,5.154439050514764e-07,7.128300645233088e-07,3.006389795760536e-07
CH2O + H <=> H2 + HCO,4.9712309458291875e-06,4.9712309458291875e-06,8.796002565214946e-06,4.965692078029514e-06
CH2 + CO2 <=> CH2O + CO,-9.5059949388908e-09,2.328657790275483e-07,3.345942331454636e-07,1.2746937722374394e-07
CH2 + O2 <=> CH2O + O,-6.595053825098804e-08,3.387561994819187e-06,4.865616502199004e-06,1.873270430343548e-06
CH2O + O2 <=> HCO + HO2,-1.0750803992439885e-07,2.9553061264364456e-07,4.2962099435647356e-07,1.8997767060324133e-07
