T5,P5,composition,phi,tau,ignition_type,filename
1112.8,20.75,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,390.0,p;d/dt max,x10014001.xml
1084.3,19.64,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,537.0,p;d/dt max,x10014001.xml
1042.8,19.713,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,1017.0,p;d/dt max,x10014001.xml
1024.9,18.89,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,1165.0,p;d/dt max,x10014001.xml
1006.3,20.2863,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,1410.0,p;d/dt max,x10014001.xml
1004.3,20.197,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,1511.0,p;d/dt max,x10014001.xml
987.6,19.456,"C2H4:0.0625, O2:0.1875, N2:0.75",1.0,1782.0,p;d/dt max,x10014001.xml
945.2,39.55,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,1686.0,p;d/dt max,x10014002.xml
1000.2,40.04,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,855.812,p;d/dt max,x10014002.xml
1050.0,40.01,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,389.199,p;d/dt max,x10014002.xml
1104.5,40.38,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,227.6,p;d/dt max,x10014002.xml
1154.4,40.34,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,130.6,p;d/dt max,x10014002.xml
1201.6,40.12,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,72.4,p;d/dt max,x10014002.xml
1245.9,39.73,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,49.6,p;d/dt max,x10014002.xml
1300.6,40.04,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,26.0,p;d/dt max,x10014002.xml
1349.3,39.96,"C2H4:0.1, O2:0.15, N2:0.75",2.0000000000000004,17.6,p;d/dt max,x10014002.xml
1349.2,39.95,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,29.2,p;d/dt max,x10014003.xml
1295.1,39.708,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,45.6,p;d/dt max,x10014003.xml
1250.1,40.017,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,78.0,p;d/dt max,x10014003.xml
1252.9,40.191,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,76.5,p;d/dt max,x10014003.xml
1200.1,40.066,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,129.6,p;d/dt max,x10014003.xml
1190.6,41.36,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,135.0,p;d/dt max,x10014003.xml
1201.7,40.165,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,140.0,p;d/dt max,x10014003.xml
1201.1,40.127,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,134.0,p;d/dt max,x10014003.xml
1152.1,40.162,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,225.8,p;d/dt max,x10014003.xml
1151.8,40.141,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,236.0,p;d/dt max,x10014003.xml
1102.4,40.196,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,418.6,p;d/dt max,x10014003.xml
1102.6,40.207,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,438.0,p;d/dt max,x10014003.xml
1054.6,40.385,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,816.2,p;d/dt max,x10014003.xml
998.4,39.874,"C2H4:0.0375, O2:0.1125, N2:0.85",0.9999999999999999,1620.0,p;d/dt max,x10014003.xml
1242.9,39.563,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,150.853,p;d/dt max,x10014004.xml
1201.5,40.104,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,260.0,p;d/dt max,x10014004.xml
1132.7,38.805,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,535.0,p;d/dt max,x10014004.xml
1107.9,40.954,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,827.684,p;d/dt max,x10014004.xml
1051.3,40.104,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,1596.0,p;d/dt max,x10014004.xml
1017.9,41.524,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,2258.0,p;d/dt max,x10014004.xml
1503.0,40.144,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,6.0,CH*;d/dt max,x10014005.xml
1449.7,39.989,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,9.248,CH*;d/dt max,x10014005.xml
1401.4,40.087,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,14.5,CH*;d/dt max,x10014005.xml
1355.0,40.296,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,31.0,CH*;d/dt max,x10014005.xml
1298.0,39.885,"C2H4:0.0143, O2:0.0857, N2:0.9",0.500583430571762,71.0,CH*;d/dt max,x10014005.xml
1172.0,1.04,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,449.0,CH*;baseline min intercept from d/dt,x10014006.xml
1112.0,1.03,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1261.0,CH*;baseline min intercept from d/dt,x10014006.xml
1192.0,0.97,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,237.0,CH*;baseline min intercept from d/dt,x10014006.xml
1247.0,1.0,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,109.0,CH*;baseline min intercept from d/dt,x10014006.xml
1203.0,1.01,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,217.0,CH*;baseline min intercept from d/dt,x10014006.xml
1166.0,1.06,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,491.0,CH*;baseline min intercept from d/dt,x10014006.xml
1163.0,1.04,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,494.0,CH*;baseline min intercept from d/dt,x10014006.xml
1119.0,1.02,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1042.0,CH*;baseline min intercept from d/dt,x10014006.xml
1127.0,1.06,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1188.0,CH*;baseline min intercept from d/dt,x10014006.xml
1307.0,1.0,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,69.0,CH*;baseline min intercept from d/dt,x10014006.xml
1163.0,3.88,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,606.0,CH*;baseline min intercept from d/dt,x10014007.xml
1118.0,3.96,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,992.0,CH*;baseline min intercept from d/dt,x10014007.xml
1174.0,3.95,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,395.0,CH*;baseline min intercept from d/dt,x10014007.xml
1111.0,3.93,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1075.0,CH*;baseline min intercept from d/dt,x10014007.xml
1072.0,3.87,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1823.0,CH*;baseline min intercept from d/dt,x10014007.xml
1244.0,4.01,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,92.0,CH*;baseline min intercept from d/dt,x10014007.xml
1194.0,3.9,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,238.0,CH*;baseline min intercept from d/dt,x10014007.xml
1131.0,3.96,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,785.0,CH*;baseline min intercept from d/dt,x10014007.xml
1220.0,4.03,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,160.0,CH*;baseline min intercept from d/dt,x10014007.xml
1171.0,4.09,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,387.0,CH*;baseline min intercept from d/dt,x10014007.xml
1154.0,3.99,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,547.0,CH*;baseline min intercept from d/dt,x10014007.xml
1241.0,3.95,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,100.0,CH*;baseline min intercept from d/dt,x10014007.xml
1273.0,10.5,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,72.0,CH*;baseline min intercept from d/dt,x10014008.xml
1220.0,9.87,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,147.0,CH*;baseline min intercept from d/dt,x10014008.xml
1175.0,9.65,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,276.0,CH*;baseline min intercept from d/dt,x10014008.xml
1173.0,10.17,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,343.0,CH*;baseline min intercept from d/dt,x10014008.xml
1171.0,9.98,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,369.0,CH*;baseline min intercept from d/dt,x10014008.xml
1165.0,9.79,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,456.0,CH*;baseline min intercept from d/dt,x10014008.xml
1124.0,9.44,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,666.0,CH*;baseline min intercept from d/dt,x10014008.xml
1123.0,9.9,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,746.0,CH*;baseline min intercept from d/dt,x10014008.xml
1112.0,10.86,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,703.0,CH*;baseline min intercept from d/dt,x10014008.xml
1042.0,10.85,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1474.0,CH*;baseline min intercept from d/dt,x10014008.xml
980.0,9.82,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1761.0,CH*;baseline min intercept from d/dt,x10014008.xml
931.0,9.99,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,3176.0,CH*;baseline min intercept from d/dt,x10014008.xml
871.0,9.77,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,4307.0,CH*;baseline min intercept from d/dt,x10014008.xml
833.0,10.08,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,7181.0,CH*;baseline min intercept from d/dt,x10014008.xml
792.0,9.78,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,8664.0,CH*;baseline min intercept from d/dt,x10014008.xml
859.0,18.95,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,3258.0,CH*;baseline min intercept from d/dt,x10014009.xml
927.0,18.17,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,1714.0,CH*;baseline min intercept from d/dt,x10014009.xml
1063.0,19.32,"C2H4:0.0338, O2:0.203, N2:0.7632",0.4995073891625615,880.0,CH*;baseline min intercept from d/dt,x10014009.xml
1204.0,1.0,"C2H4:0.0655, O2:0.1963, N2:0.7382",1.001018848700968,257.0,CH*;baseline min intercept from d/dt,x10014010.xml
1301.0,1.08,"C2H4:0.0655, O2:0.1963, N2:0.7382",1.001018848700968,67.0,CH*;baseline min intercept from d/dt,x10014010.xml
1218.0,1.07,"C2H4:0.0655, O2:0.1963, N2:0.7382",1.001018848700968,205.0,CH*;baseline min intercept from d/dt,x10014010.xml
