T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,pressure_rise,pressure_rise_units,ignition_type,ignition_target,ignition_amount,ignition_units,author_year,filename
1246.0,K,1649571.0,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,4.6e-05,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1172.0,K,1291893.75,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.00015099999999999998,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1158.0,K,1320264.75,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.000203,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1148.0,K,1268589.0,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.000252,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1138.0,K,1369914.0,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.000335,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1125.0,K,1389165.75,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.000603,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1116.0,K,1288854.0,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.0007599999999999999,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1110.0,K,1391192.25,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.001162,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1107.0,K,1311145.5,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.001482,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1102.0,K,1338503.25,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.00163,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
1098.0,K,1343569.5,Pa,"H2:0.0075, O2:0.0125, Ar:0.98",0.3,0.0018599999999999999,s,,,baseline min intercept from d/dt,OH*;,,,Keromnes2013,x10000034.xml
