equation,id,f_value,operating_condition,if,low_impact,inactive
2 H + M <=> H2 + M,0,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.4675357844875885,True,True
H + O + M <=> OH + M,1,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.1985389859860523,True,True
H + OH (+M) <=> H2O (+M),4,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.10563245095286436,True,True
H + H2O2 <=> H2 + HO2,7,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.5980294276519333,True,True
H + H2O2 <=> H2O + OH,8,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.10642286847382987,True,True
H2O2 + O <=> HO2 + OH,9,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.017182158065733696,True,True
H2O2 + OH <=> H2O + HO2,10,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.04587439393938712,True,True
H + HO2 <=> H2 + O2,11,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",4.0765655374661604e-05,True,True
H + HO2 <=> 2 OH,12,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.18344406942473984,True,True
2 HO2 <=> H2O2 + O2,13,0.3,"Pandas(T5=1076.0, T5_units='K', P5=202650.0, P5_units='Pa', composition='H2:0.2958, O2:0.1479, N2:0.5563', phi=1.0, tau=4.85e-05, tau_units='s', ignition_type='d/dt max', ignition_target='OH;', ignition_amount='', ignition_units='', filename='x10000005.xml')",0.07883683060890946,True,True
