T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,pressure_rise,pressure_rise_units,ignition_type,ignition_target,ignition_amount,ignition_units,filename
918.0,K,103351.5,Pa,"H2:0.058683, O2:0.02947, Ar:0.911847",0.9956396335256192,0.00362,s,,,max,OH*;,,,g00000012.xml
1191.0,K,99000.0,Pa,"H2:0.1254, O2:0.0157, Ar:0.8589",3.9936305732484083,0.00042899999999999997,s,,,max,OHEX;,,,x10001017.xml
1068.0,K,416000.0,Pa,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,0.000285,s,,,max,OHEX;,,,x10001025.xml
1017.0,K,419000.00000000006,Pa,"H2:0.1254, O2:0.0157, Ar:0.8589",3.9936305732484083,0.000928,s,,,max,OHEX;,,,x10001016.xml
1007.0,K,1569000.0,Pa,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,0.00484,s,,,max,OHEX;,,,x10001024_x.xml
1204.0,K,1470000.0,Pa,"H2:0.1254, O2:0.0157, Ar:0.8589",3.9936305732484083,4.6e-05,s,,,max,OHEX;,,,x10001015.xml
1431.0,K,101325.0,Pa,"H2:0.03, O2:0.015, Ar:0.955",1.0,0.0001157,s,,,d/dt max,OH*;,,,x10000008.xml
1698.0,K,120000.0,Pa,"H2:0.1254, O2:0.0157, Ar:0.8589",3.9936305732484083,7.9e-05,s,,,max,OHEX;,,,x10001017.xml
1487.0,K,151987.5,Pa,"H2:0.0133, O2:0.0067, Ar:0.98",0.9925373134328357,0.00014,s,,,baseline min intercept from d/dt,OH*;,,,x10000039.xml
1463.0,K,430000.0,Pa,"H2:0.1254, O2:0.0157, Ar:0.8589",3.9936305732484083,3.4e-05,s,,,max,OHEX;,,,x10001016.xml
1383.0,K,1134840.0,Pa,"H2:0.005, CO:0.005, O2:0.01, Ar:0.98",0.5,4.1e-05,s,,,d/dt max,OHEX;,,,x10001063.xml
2050.0,K,124629.75,Pa,"H2:0.00049, CO:0.0328, O2:0.0101, Ar:0.95661",1.6480198019801982,0.000195,s,,,concentration,CO2;,1.328431e-11,kmol/m3,x10001050.xml
2001.0,K,147934.5,Pa,"H2:0.005, CO:0.005, O2:0.01, Ar:0.98",0.5,4.0499999999999995e-05,s,,,d/dt max,OHEX;,,,x10001062.xml
2136.0,K,137000.0,Pa,"H2:0.1254, O2:0.0157, Ar:0.8589",3.9936305732484083,3.6e-05,s,,,max,OHEX;,,,x10001017.xml
2215.0,K,156040.5,Pa,"H2:0.0005, CO:0.1217, O2:0.01, Ar:0.8678",6.11,7.8e-05,s,,,concentration,CO2;,1.6605390000000003e-11,kmol/m3,x10001052.xml
2423.0,K,43772.4,Pa,"H2:0.03, O2:0.01, Ar:0.96",1.5,3.18e-05,s,,,max,OH;,,,x10000029_x.xml
2675.0,K,182385.0,Pa,"H2:0.00049, CO:0.0328, O2:0.0101, Ar:0.95661",1.6480198019801982,5.4999999999999995e-05,s,,,concentration,CO2;,1.328431e-11,kmol/m3,x10001050.xml
2375.0,K,172252.5,Pa,"H2:0.0005, CO:0.1217, O2:0.01, Ar:0.8678",6.11,5.8e-05,s,,,concentration,CO2;,1.6605390000000003e-11,kmol/m3,x10001052.xml
