equation,if,low_impact,rank
CO + O2 <=> CO2 + O,0.21527338908064922,False,1
H + HCO <=> CO + H2,0.02806768278087641,False,2
HCO + M <=> CO + H + M,0.027716543458243526,False,3
HO2 + O <=> O2 + OH,0.02603296298977638,False,4
CO + O (+M) <=> CO2 (+M),0.024672062722504516,False,5
H + O2 (+M) <=> HO2 (+M),0.023469305994953386,False,6
H2O2 + O <=> HO2 + OH,0.019516696904482794,True,7
H2 + OH* <=> H2 + OH,0.019467132602765103,True,8
HO2 + OH <=> H2O + O2,0.018377730072528718,True,9
OH* <=> OH,0.01767683870847862,True,10
CO + OH <=> CO2 + H,0.01734252614098672,True,11
H + HO2 <=> 2 OH,0.016496598028697882,True,12
H + O + M <=> OH + M,0.014730997887523392,True,13
HCO + HO2 => CO2 + H + OH,0.01463038638587819,True,14
H + OH (+M) <=> H2O (+M),0.013941196362528897,True,15
H + O2 <=> O + OH,0.013023418949468443,True,16
H + H2O2 <=> H2O + OH,0.012504795081446005,True,17
HCO + O2 <=> CO + HO2,0.011873711962128717,True,18
H + HO2 <=> H2 + O2,0.011646011495898025,True,19
2 OH <=> H2O + O,0.011504695558040743,True,20
2 HCO => 2 CO + H2,0.010670129221094685,True,21
2 H + M <=> H2 + M,0.010166063559175693,True,22
HCO + OH <=> CO + H2O,0.009982734423553356,True,23
H + H2O2 <=> H2 + HO2,0.009629493362144345,True,24
CO + HO2 <=> CO2 + OH,0.009564223453973482,True,25
2 O + M <=> O2 + M,0.009136932150731728,True,26
O2 + OH* <=> O2 + OH,0.008727300296908843,True,27
H2O2 (+M) <=> 2 OH (+M),0.007748898148206578,True,28
H + OH* <=> H + OH,0.007243077274272112,True,29
H2 + OH <=> H + H2O,0.007108771274041296,True,30
HCO + O <=> CO2 + H,0.006604663111644845,True,31
N2 + OH* <=> N2 + OH,0.006270197942784156,True,32
2 HO2 <=> H2O2 + O2,0.005691420033902911,True,33
H2O + OH* <=> H2O + OH,0.0050276858683589,True,34
OH + OH* <=> 2 OH,0.003052686647814638,True,35
AR + OH* <=> AR + OH,0.0027446363896343985,True,36
H2O2 + OH <=> H2O + HO2,0.0024728667352169106,True,37
C + OH <=> CO + H,0.002017802524741043,True,38
HCO + O <=> CO + OH,0.0013558960760106445,True,39
C + O2 <=> CO + O,0.0011090765458473238,True,40
H2 + O <=> H + OH,0.0011075711096996145,True,41
