equation
2 H + M <=> H2 + M
H + O + M <=> OH + M
H + O2 (+M) <=> HO2 (+M)
H + O2 <=> O + OH
H2 + O <=> H + OH
H2 + OH <=> H + H2O
H + H2O2 <=> H2 + HO2
H2O2 + OH <=> H2O + HO2
H + HO2 <=> H2 + O2
H + HO2 <=> 2 OH
2 HO2 <=> H2O2 + O2
HO2 + O <=> O2 + OH
2 O + M <=> O2 + M
2 OH <=> H2O + O
H2O2 (+M) <=> 2 OH (+M)
AR + OH* <=> AR + OH
H2 + OH* <=> H2 + OH
N2 + OH* <=> N2 + OH
OH + OH* <=> 2 OH
CO + O (+M) <=> CO2 (+M)
CO + OH <=> CO2 + H
CO + O2 <=> CO2 + O
CO + HO2 <=> CO2 + OH
C + O2 <=> CO + O
HCO + O2 <=> CO + HO2
H + HCO <=> CO + H2
2 HCO => 2 CO + H2
