reaction_string,parameter_type,lower_bound,upper_bound,operating_condition
2 O + M <=> O2 + M,rate_coef,2.3923080171553606e-07,3.1589229424387404e-07,1.7375003543370503e-07
H + O2 (+M) <=> HO2 (+M),rate_coef,7.968591968711912e-07,8.389364640720956e-07,1.4564300382058278e-06,1.075441063350264e-06
HO2 + O <=> O2 + OH,rate_coef,-3.61583370392214e-08,1.4351626642820844e-07,1.7747935082016016e-07,6.251352691092063e-08
H + HO2 <=> 2 OH,rate_coef,-7.268038700453436e-06,7.268038700453436e-06,7.832450485246178e-06,5.927088434081605e-06
H + O + M <=> OH + M,rate_coef,5.3022491792685657e-08,4.5067975263073854e-07,6.515691434401679e-07,3.3102134475418645e-07
H + O2 <=> O + OH,rate_coef,-0.00010058226591375339,0.00010058226591375339,3.395519677328316e-05,2.8154316382219483e-05
H + HO2 <=> H2 + O2,rate_coef,1.0159595049036689e-05,1.0345290046140856e-05,1.0498373626143528e-05,7.242503570808442e-06
H2 + O <=> H + OH,rate_coef,-1.5946044371446883e-06,4.857337695559278e-06,,5.559642874036596e-06
2 H + M <=> H2 + M,rate_coef,2.5856388494278633e-07,2.6684971246809137e-07,2.2052800572426952e-07,1.5480467585050846e-07
2 H + H <=> H2 + H,rate_coef,-7.881563681160668e-08,2.714074910216107e-07,4.565394859192364e-07,2.570334180354294e-07
2 H + N2 <=> H2 + N2,rate_coef,0.0,0.0,0.0,0.0
2 H + H2 <=> H2 + H2,rate_coef,-9.175930863858277e-08,1.5292088516741532e-07,1.6419464287284823e-07,7.058506070769101e-08
