equation,id,f_value,operating_condition,if,low_impact,inactive
2 O + M <=> O2 + M,0,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010935956912809696,True,True
H + O2 (+M) <=> HO2 (+M),1,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01198524877263337,True,True
HO2 + O <=> O2 + OH,2,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.016341788571319765,True,True
H + HO2 <=> 2 OH,3,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.042756529774920345,True,False
H + O + M <=> OH + M,4,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015766097013187434,True,True
H + O2 <=> O + OH,5,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",1.147035092227225,False,False
H + HO2 <=> H2 + O2,6,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.039946751868410915,True,False
H2 + O <=> H + OH,7,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005327570218434801,True,False
H2 + O <=> H + OH,7,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009766165365421737,True,False
2 H + M <=> H2 + M,9,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003539867981927631,True,True
2 H + H <=> H2 + H,10,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018890892260394337,True,True
2 H + N2 <=> H2 + N2,11,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011278763058134363,True,True
2 H + H2 <=> H2 + H2,12,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011341635833131344,True,True
2 H + AR <=> H2 + AR,13,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.016279736470325244,True,True
H2 + O2 <=> 2 OH,14,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015327689066771306,True,True
2 HO2 <=> H2O2 + O2,15,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011156853970360155,True,False
2 HO2 <=> H2O2 + O2,15,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005824225626856782,True,False
H2O2 + O <=> HO2 + OH,17,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005970457428366489,True,True
H + H2O2 <=> H2 + HO2,18,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0248039111712319,True,True
2 OH (+M) <=> H2O2 (+M),19,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0030728753794196616,True,True
H2O2 + OH <=> H2O + HO2,20,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01743660131642179,True,False
H2O2 + OH <=> H2O + HO2,20,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011535362540172784,True,False
HO2 + OH <=> H2O + O2,22,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.042921869936995184,True,False
HO2 + OH <=> H2O + O2,22,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007675269467043854,True,False
2 OH <=> H2O + O,24,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02126493834743412,True,True
H + H2O2 <=> H2O + OH,25,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004704491455230015,True,True
H + HO2 <=> H2O + O,26,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0013077175333489407,True,True
H + OH (+M) <=> H2O (+M),27,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012851651168974585,True,True
H2 + OH <=> H + H2O,28,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.07332719388001824,True,True
2 H + H2O <=> H2 + H2O,29,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.016781967398161925,True,True
C + OH <=> CO + H,30,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010274048831216817,True,True
C + O2 <=> CO + O,31,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0022971055179248994,True,True
CO + HO2 <=> CO2 + OH,32,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02781642887453935,True,True
