a;NG;WTI
1997;3.269956211;4.14
1997.083333;2.037798798;3.66
1997.166667;1.791367316;3.46
1997.25;1.924061191;3.25
1997.333333;2.132580138;3.43
1997.416667;2.085189468;3.17
1997.5;2.075711334;3.24
1997.583333;2.360055352;3.29
1997.666667;2.729702576;3.26
1997.75;2.909787121;3.52
1997.833333;2.852918317;3.33
1997.916667;2.227361477;3.02
1998;1.980929995;2.76
1998.083333;2.11362387;2.65
1998.166667;2.123102004;2.49
1998.25;2.303186549;2.53
1998.333333;2.028320664;2.46
1998.416667;2.056755066;2.26
1998.5;2.056755066;2.34
1998.583333;1.75345478;2.22
1998.666667;1.914583057;2.48
1998.75;1.810323583;2.38
1998.833333;2.009364396;2.14
1998.916667;1.630239039;1.87
1999;1.75345478;2.06
1999.083333;1.677629708;1.98
1999.166667;1.696585976;2.42
1999.25;2.037798798;2.85
1999.333333;2.142058272;2.92
1999.416667;2.179970807;2.95
1999.5;2.189448941;3.31
1999.583333;2.653877505;3.51
1999.666667;2.416924156;3.92
1999.75;2.587530567;3.74
1999.833333;2.246317745;4.12
1999.916667;2.236839611;4.30
2000;2.293708415;4.49
2000.083333;2.521183629;4.84
2000.166667;2.644399371;4.92
2000.25;2.881352719;4.24
2000.333333;3.402650086;4.74
2000.416667;4.066119462;5.24
2000.5;3.781775444;4.89
2000.583333;4.198813338;5.15
2000.666667;4.795935776;5.58
2000.75;4.75802324;5.46
2000.833333;5.231929938;5.67
2000.916667;8.435539211;4.69
2001;7.743635433;4.88
2001.083333;5.317233143;4.88
2001.166667;4.957064053;4.49
2001.25;4.919151517;4.53
2001.333333;3.971338123;4.72
2001.416667;3.525865828;4.55
2001.5;2.947699657;4.36
2001.583333;2.815005782;4.51
2001.666667;2.075711334;4.32
2001.75;2.33162095;3.65
2001.833333;2.217883343;3.24
2001.916667;2.179970807;3.20
2002;2.198927075;3.25
2002.083333;2.198927075;3.41
2002.166667;2.871874585;4.04
2002.25;3.250999943;4.31
2002.333333;3.317346881;4.46
2002.416667;3.089871666;4.21
2002.5;2.83396205;4.44
2002.583333;2.928743389;4.68
2002.666667;3.36473755;4.89
2002.75;3.914469319;4.75
2002.833333;3.829166114;4.34
2002.916667;4.49263549;4.86
2003;5.146626732;5.43
2003.083333;7.307641272;5.91
2003.166667;5.620533429;5.52
2003.25;4.985498455;4.64
2003.333333;5.506795822;4.63
2003.416667;5.516273956;5.05
2003.5;4.767501374;5.07
2003.583333;4.729588839;5.20
2003.666667;4.378897883;4.67
2003.75;4.388376017;5.00
2003.833333;4.236725873;5.13
2003.916667;5.810096108;5.30
2004;5.819574242;5.65
2004.083333;5.089757928;5.72
2004.166667;5.108714196;6.06
2004.25;5.412014483;6.06
2004.333333;5.999658787;6.64
2004.416667;5.942789984;6.27
2004.5;5.620533429;6.72
2004.583333;5.127670464;7.40
2004.666667;4.881238982;7.57
2004.75;6.018615055;8.78
2004.833333;5.848008644;7.99
2004.916667;6.236612136;7.11
2005;5.829052376;7.72
2005.083333;5.819574242;7.94
2005.166667;6.596781226;8.93
2005.25;6.786343905;8.73
2005.333333;6.132352662;8.21
2005.416667;6.805300173;9.29
2005.5;7.2318162;9.72
2005.583333;9.03266165;10.71
2005.666667;11.13680739;10.81
2005.75;12.71965575;10.26
2005.833333;9.762477963;9.61
2005.916667;12.3689648;9.79
2006;8.236498398;10.79
2006.083333;7.146512995;10.16
2006.166667;6.530434288;10.33
2006.25;6.786343905;11.44
